low,mid,high,high2,minmaxlow,minmaxmid,minmaxhigh,minmaxhigh2
0.31033334,0.041333336,-0.6433334,-0.88166654,2.9133334,0.43533325,-0.26100004,-0.82833326
2.0583336,0.16166666,-0.547,-0.859,-0.11599998,-0.239,-0.69533336,-0.69533336
-0.11599998,0.10699999,-0.6210002,-0.91800004,,,,
1.1906668,0.13666664,-0.4946667,-0.8526666,,,,
1.5786667,0.37799993,-0.5330001,-0.8493332,,,,
0.62033325,0.17300001,-0.29866663,-0.8453332,,,,
0.9333333,0.21799998,-0.5186667,-0.8433334,,,,
0.56266665,0.3163333,-0.56566656,-0.8689999,,,,
1.4396666,0.28366664,-0.54233336,-0.8596666,,,,
0.617,0.18066667,-0.61499995,-0.8866667,,,,
0.5286666,-0.239,-0.69533336,-0.9183334,,,,
2.5529997,0.061333336,-0.6136666,-0.84533334,,,,
0.94066674,0.23066664,-0.26100004,-0.84833336,,,,
1.145,0.23,-0.3373333,-0.8783333,,,,
1.8373334,0.275,-0.523,-0.8669999,,,,
0.3526668,0.15900001,-0.4823333,-0.894,,,,
1.142,0.19633333,-0.48033336,-0.8796665,,,,
0.9766666,0.15966667,-0.5386668,-0.88366663,,,,
1.3900002,0.19933335,-0.47633332,-0.8496666,,,,
0.8646667,-0.0029999823,-0.6706666,-0.8953333,,,,
0.50266665,0.3909999,-0.5543334,-0.8683335,,,,
1.9163333,0.21566667,-0.56733334,-0.88666666,,,,
0.07933333,0.121999994,-0.5990001,-0.8936665,,,,
1.0713332,-0.124000005,-0.6783334,-0.89733326,,,,
1.7999998,-0.065333314,-0.61999995,-0.86733335,,,,
0.8416668,0.17300002,-0.29766664,-0.87100023,,,,
1.882333,0.19333334,-0.581,-0.8563333,,,,
1.2956668,0.36166662,-0.37600002,-0.84099996,,,,
1.0596666,0.22733329,-0.4513333,-0.85366666,,,,
1.047,0.25133333,-0.46766657,-0.86133343,,,,
0.70199996,0.30033332,-0.47700006,-0.8716667,,,,
1.4910003,0.12300001,-0.5773334,-0.8666668,,,,
0.37333333,0.15433337,-0.5436667,-0.89233327,,,,
0.98033327,0.17066668,-0.40633333,-0.8516666,,,,
2.0509999,0.21666668,-0.3743333,-0.82833326,,,,
0.13966666,0.20399997,-0.5086667,-0.8853334,,,,
1.3243333,0.43533325,-0.5543333,-0.8570001,,,,
1.4313334,0.217,-0.48533332,-0.85966665,,,,
2.605,0.029666662,-0.4636667,-0.8503333,,,,
2.4136672,0.17033334,-0.521,-0.872,,,,
1.1013334,0.15966667,-0.4543333,-0.848,,,,
1.2176666,0.213,-0.60733336,-0.86900014,,,,
0.749,0.20566665,-0.522,-0.875,,,,
0.7400002,0.20033334,-0.44333327,-0.88866657,,,,
2.0926669,0.32299995,-0.51600003,-0.8556667,,,,
-0.02166667,0.06833331,-0.6303333,-0.90633315,,,,
1.278667,0.37566665,-0.5723334,-0.8459999,,,,
1.8763332,0.29766664,-0.5813333,-0.85066676,,,,
0.5456666,0.23200001,-0.5576666,-0.8896666,,,,
1.512,0.13666669,-0.6893334,-0.8883332,,,,
2.0833335,0.038666677,-0.497,-0.84199995,,,,
1.8303335,0.19900002,-0.35699996,-0.8443334,,,,
2.9133334,0.22033332,-0.46466672,-0.8473334,,,,
