low,mid,high,high2,minmaxlow,minmaxmid,minmaxhigh,minmaxhigh2
1.5426668,-0.10133334,-0.63899994,-0.8509999,2.317,0.13166668,-0.4203333,-0.8060001
1.0203332,-0.02766668,-0.6129999,-0.8493334,0.6933333,-0.19833331,-0.6586667,-0.8926667
1.1760001,-0.009666663,-0.44233343,-0.8416669,,,,
0.8980002,0.047666665,-0.4513333,-0.81066674,,,,
1.1609999,0.040666673,-0.5406667,-0.86533326,,,,
0.8743334,0.030666672,-0.5183334,-0.8530001,,,,
1.3723333,-0.19833331,-0.6586667,-0.8926667,,,,
1.0983332,-0.095999986,-0.53833324,-0.8649999,,,,
1.2613335,-0.019666668,-0.52433336,-0.8226666,,,,
1.0629998,0.055666674,-0.4596667,-0.8256666,,,,
1.2756668,0.12866668,-0.55866665,-0.83900005,,,,
0.6933333,0.11599999,-0.4203333,-0.8296667,,,,
1.3296669,0.094000004,-0.52933335,-0.8233334,,,,
0.70233333,0.076,-0.45600003,-0.8346666,,,,
1.4366667,-0.107000016,-0.6286667,-0.869,,,,
0.8703334,-0.15633334,-0.60466665,-0.89,,,,
1.1046665,-0.11499997,-0.56133336,-0.8256667,,,,
0.87433344,-0.02633333,-0.5396666,-0.8316666,,,,
0.69433343,0.037333332,-0.48933327,-0.82266676,,,,
2.0176668,0.0050000004,-0.4456666,-0.8060001,,,,
1.3086665,0.055666666,-0.43666667,-0.8103334,,,,
1.8226668,0.056333337,-0.53266674,-0.83166677,,,,
1.6813333,0.049,-0.5156667,-0.807,,,,
2.317,-0.14899997,-0.657,-0.8566668,,,,
2.1303334,-0.09966668,-0.58266664,-0.83800006,,,,
2.1466668,0.034,-0.58100003,-0.82299995,,,,
1.3306667,0.10300001,-0.53433335,-0.8586666,,,,
1.9566666,0.06500002,-0.6006667,-0.8423334,,,,
1.5393333,0.068333335,-0.5693334,-0.85866666,,,,
1.6930002,0.13166668,-0.5956667,-0.8153334,,,,
1.6459998,0.124333344,-0.583,-0.84033334,,,,
1.9083335,0.028666664,-0.5863333,-0.8599999,,,,
1.5519999,-0.063666664,-0.641,-0.87733334,,,,
1.6393332,-0.010666668,-0.5889999,-0.8596666,,,,
