low,mid,high,high2,minmaxlow,minmaxmid,minmaxhigh,minmaxhigh2
1.1509999,0.09300001,-0.526,-0.8369999,1.4133333,0.24066666,-0.36733335,-0.77966666
0.8640001,0.19166666,-0.49733332,-0.8159999,0.7953335,0.05933334,-0.526,-0.84300005
1.1326665,0.20500003,-0.37333325,-0.77966666,,,,
1.2093333,0.164,-0.44833332,-0.8316667,,,,
1.1996667,0.18500002,-0.41400003,-0.8266667,,,,
1.0340002,0.17466667,-0.43933332,-0.81766677,,,,
0.99966675,0.18100002,-0.4013333,-0.80833334,,,,
0.8956668,0.12799998,-0.44066668,-0.8403335,,,,
0.8316668,0.09166665,-0.48766658,-0.84300005,,,,
1.0643334,0.1093333,-0.36733335,-0.7976666,,,,
1.0499998,0.24066666,-0.40733334,-0.80433327,,,,
1.2396665,0.22633334,-0.44799992,-0.8156668,,,,
1.0926667,0.1983333,-0.412,-0.80666655,,,,
1.1726665,0.19900002,-0.42533323,-0.8113334,,,,
1.2399999,0.14766666,-0.42633334,-0.8223332,,,,
1.0706667,0.12133335,-0.44999987,-0.80499995,,,,
1.1906667,0.15433332,-0.44666666,-0.81466675,,,,
1.3869998,0.17133333,-0.46433333,-0.82166666,,,,
1.2213333,0.16300003,-0.45266673,-0.8150002,,,,
0.9446666,0.14433335,-0.46366662,-0.8196667,,,,
0.94533324,0.15266666,-0.43100002,-0.8079999,,,,
0.907,0.17766665,-0.4416667,-0.81266665,,,,
0.7953335,0.17733333,-0.4566666,-0.8123334,,,,
0.989,0.15133333,-0.3939999,-0.8093334,,,,
1.0746666,0.15633334,-0.3843333,-0.79699993,,,,
1.1543332,0.204,-0.43033332,-0.81900024,,,,
1.4133333,0.17933331,-0.46899995,-0.8130001,,,,
1.2446666,0.05933334,-0.4529999,-0.8106666,,,,
